성별,연령,고용형태,전문가지향성,학습민첩성,혁신행동,이직의도
1.0,2.0,1.0,5.0,3.6,3.75,2.6666666666666665
1.0,3.0,1.0,3.25,3.0,3.0,4.0
1.0,2.0,3.0,4.5,4.0,3.75,3.6666666666666665
2.0,4.0,2.0,5.0,4.4,3.5,3.3333333333333335
1.0,3.0,1.0,4.0,4.0,3.0,4.0
1.0,4.0,1.0,4.0,4.0,4.0,3.0
1.0,2.0,1.0,4.0,4.8,4.5,2.0
1.0,2.0,1.0,3.75,4.2,4.0,5.0
1.0,2.0,1.0,4.5,5.0,5.0,5.0
1.0,2.0,2.0,4.5,4.8,4.25,4.0
1.0,2.0,1.0,3.5,5.0,4.0,3.0
1.0,2.0,1.0,4.0,4.0,4.0,4.666666666666667
1.0,2.0,4.0,4.25,3.8,3.0,3.6666666666666665
1.0,2.0,1.0,4.5,3.6,3.75,5.0
2.0,2.0,1.0,3.75,3.0,3.0,2.6666666666666665
1.0,2.0,1.0,4.0,4.0,2.75,4.0
2.0,2.0,3.0,4.0,3.2,3.25,4.0
1.0,2.0,1.0,3.25,4.2,3.0,4.333333333333333
1.0,2.0,1.0,4.25,4.6,3.75,3.0
2.0,2.0,1.0,4.75,3.4,3.5,5.0
1.0,3.0,1.0,4.0,3.8,4.25,5.0
2.0,2.0,1.0,2.75,3.8,3.25,3.6666666666666665
1.0,2.0,1.0,4.0,3.4,3.25,3.6666666666666665
2.0,2.0,3.0,4.0,4.6,4.5,4.333333333333333
1.0,2.0,1.0,4.75,4.2,4.0,5.0
1.0,2.0,1.0,4.5,3.8,3.25,3.6666666666666665
2.0,2.0,1.0,4.25,4.4,4.0,3.6666666666666665
1.0,4.0,1.0,4.75,4.6,4.75,5.0
1.0,4.0,1.0,3.0,4.2,3.25,4.0
1.0,4.0,1.0,3.5,3.8,4.25,2.0
1.0,5.0,1.0,3.25,3.0,3.75,3.0
1.0,4.0,1.0,3.75,4.0,3.0,4.333333333333333
2.0,2.0,1.0,4.0,3.6,5.0,4.666666666666667
1.0,2.0,4.0,4.0,3.4,3.75,4.0
2.0,2.0,1.0,4.0,4.6,4.0,4.0
2.0,2.0,3.0,4.25,3.8,3.5,4.333333333333333
1.0,4.0,1.0,3.5,3.8,3.75,2.0
2.0,2.0,1.0,3.75,4.0,3.5,3.3333333333333335
1.0,4.0,1.0,4.5,4.0,4.0,3.6666666666666665
1.0,2.0,4.0,4.0,4.0,3.75,3.0
1.0,4.0,4.0,4.25,4.0,3.25,2.6666666666666665
2.0,3.0,1.0,4.25,4.4,3.75,4.666666666666667
1.0,4.0,1.0,3.5,4.4,4.5,4.0
1.0,4.0,1.0,4.0,4.0,4.0,4.0
2.0,2.0,1.0,3.75,3.8,3.25,3.6666666666666665
2.0,2.0,1.0,3.25,3.0,3.0,3.0
2.0,2.0,1.0,5.0,3.6,3.5,5.0
1.0,5.0,1.0,4.25,3.2,3.5,3.3333333333333335
2.0,3.0,3.0,4.5,4.0,2.75,4.666666666666667
2.0,2.0,1.0,4.0,3.2,4.0,3.3333333333333335
2.0,4.0,3.0,4.0,4.2,3.75,4.666666666666667
2.0,3.0,1.0,4.0,3.8,3.5,5.0
1.0,2.0,4.0,4.0,4.4,3.75,4.0
1.0,2.0,1.0,4.5,4.8,4.75,4.666666666666667
2.0,2.0,1.0,3.5,3.4,3.75,5.0
2.0,2.0,1.0,5.0,4.0,3.25,5.0
2.0,2.0,1.0,4.0,4.4,4.25,4.666666666666667
2.0,2.0,1.0,3.75,3.4,2.5,4.333333333333333
1.0,2.0,3.0,5.0,4.4,5.0,5.0
2.0,2.0,4.0,4.75,3.8,3.5,3.6666666666666665
2.0,2.0,1.0,5.0,4.6,4.25,3.3333333333333335
1.0,2.0,1.0,5.0,5.0,4.0,2.0
2.0,3.0,1.0,3.75,3.0,3.5,3.0
1.0,2.0,1.0,4.0,4.0,3.5,4.666666666666667
1.0,2.0,2.0,4.5,4.2,4.5,4.666666666666667
2.0,2.0,4.0,4.0,3.8,3.75,4.0
1.0,2.0,1.0,3.5,3.6,3.5,3.6666666666666665
2.0,2.0,1.0,4.25,4.6,4.0,3.6666666666666665
1.0,2.0,2.0,4.5,4.4,4.5,4.666666666666667
1.0,3.0,1.0,4.25,4.4,4.25,2.3333333333333335
1.0,3.0,1.0,4.0,3.4,3.25,3.3333333333333335
1.0,2.0,1.0,4.25,3.6,4.0,4.0
2.0,3.0,2.0,4.25,4.0,4.0,4.0
1.0,2.0,1.0,4.25,5.0,4.25,3.0
1.0,2.0,1.0,3.0,3.0,3.75,2.6666666666666665
2.0,2.0,1.0,3.75,4.4,2.75,5.0
2.0,2.0,1.0,3.25,2.6,1.75,5.0
1.0,2.0,1.0,3.75,4.0,3.0,4.333333333333333
1.0,2.0,1.0,3.75,4.2,3.75,4.0
1.0,3.0,3.0,3.5,4.0,4.5,4.666666666666667
1.0,2.0,3.0,3.25,3.4,3.0,3.3333333333333335
2.0,2.0,1.0,4.25,4.8,3.5,2.6666666666666665
1.0,2.0,1.0,4.5,3.8,5.0,5.0
1.0,2.0,1.0,4.0,3.8,4.0,2.6666666666666665
2.0,2.0,1.0,4.75,4.0,3.25,4.666666666666667
2.0,2.0,1.0,3.5,4.2,3.25,5.0
2.0,2.0,1.0,3.75,3.6,3.5,4.333333333333333
1.0,2.0,3.0,4.5,3.8,3.25,3.3333333333333335
2.0,2.0,1.0,4.25,4.0,2.75,5.0
2.0,2.0,1.0,4.0,3.8,3.75,2.6666666666666665
1.0,3.0,1.0,4.0,3.8,4.75,5.0
1.0,5.0,1.0,4.25,3.8,4.25,2.6666666666666665
1.0,4.0,1.0,4.5,4.2,3.75,3.3333333333333335
1.0,4.0,1.0,5.0,4.0,4.25,3.6666666666666665
1.0,5.0,1.0,5.0,5.0,4.5,4.0
1.0,4.0,1.0,4.0,4.4,3.25,3.6666666666666665
1.0,5.0,1.0,4.0,4.0,3.75,2.3333333333333335
2.0,4.0,1.0,5.0,3.4,3.25,2.0
1.0,5.0,2.0,4.5,4.6,4.5,4.666666666666667
1.0,5.0,1.0,4.0,4.6,4.25,2.6666666666666665
1.0,3.0,1.0,4.75,4.6,4.75,2.3333333333333335
1.0,3.0,1.0,2.75,4.0,3.25,4.666666666666667
1.0,3.0,1.0,4.0,4.4,4.25,3.6666666666666665
1.0,4.0,1.0,4.0,3.8,3.75,4.666666666666667
1.0,2.0,2.0,3.0,3.2,3.0,2.3333333333333335
1.0,4.0,1.0,3.75,4.0,3.75,3.3333333333333335
1.0,2.0,1.0,4.75,4.4,4.0,3.3333333333333335
1.0,2.0,3.0,3.75,4.4,4.25,5.0
1.0,2.0,4.0,3.75,3.8,3.75,4.0
1.0,2.0,4.0,4.25,4.2,4.0,4.0
1.0,2.0,3.0,2.75,3.4,3.5,2.6666666666666665
1.0,2.0,4.0,4.0,4.6,3.5,3.6666666666666665
1.0,2.0,3.0,4.75,3.8,3.5,3.6666666666666665
1.0,2.0,1.0,3.5,3.4,3.5,3.6666666666666665
2.0,2.0,2.0,3.75,3.6,3.75,4.333333333333333
1.0,2.0,4.0,4.25,3.4,4.25,4.0
1.0,2.0,1.0,4.75,3.8,4.25,3.3333333333333335
1.0,2.0,1.0,4.75,4.8,3.25,5.0
1.0,2.0,1.0,4.0,4.2,4.5,4.666666666666667
1.0,2.0,1.0,3.0,3.2,3.25,3.0
1.0,2.0,1.0,4.5,4.6,4.5,4.333333333333333
1.0,2.0,1.0,4.25,4.0,4.0,1.3333333333333333
1.0,2.0,3.0,4.0,3.4,2.25,3.6666666666666665
1.0,2.0,1.0,3.75,3.8,3.75,3.6666666666666665
1.0,2.0,1.0,4.5,4.4,3.5,3.0
1.0,2.0,4.0,4.75,4.8,3.25,4.666666666666667
1.0,2.0,3.0,3.25,3.6,2.5,3.0
1.0,2.0,2.0,4.25,4.8,4.0,4.666666666666667
1.0,2.0,3.0,4.25,3.8,3.5,4.0
1.0,2.0,1.0,3.5,4.6,4.25,4.333333333333333
1.0,2.0,1.0,5.0,4.0,3.0,4.0
1.0,2.0,1.0,3.75,3.8,3.75,4.333333333333333
1.0,2.0,1.0,4.25,3.8,3.0,5.0
1.0,2.0,4.0,4.75,4.4,4.5,3.0
1.0,2.0,4.0,5.0,5.0,5.0,4.0
1.0,2.0,2.0,5.0,5.0,3.75,5.0
1.0,2.0,3.0,4.0,3.8,3.0,3.3333333333333335
1.0,2.0,2.0,3.75,3.6,3.75,4.0
1.0,2.0,1.0,4.5,4.0,4.5,4.666666666666667
1.0,2.0,1.0,3.5,4.0,4.0,4.666666666666667
1.0,2.0,1.0,4.0,4.2,4.5,3.3333333333333335
1.0,2.0,2.0,3.5,4.2,3.0,5.0
1.0,2.0,1.0,4.5,4.6,4.0,4.333333333333333
1.0,2.0,1.0,3.5,3.8,3.0,3.3333333333333335
1.0,2.0,3.0,5.0,4.4,4.25,3.6666666666666665
1.0,2.0,1.0,5.0,4.6,4.25,3.6666666666666665
1.0,2.0,4.0,4.75,4.6,4.75,3.6666666666666665
1.0,2.0,2.0,3.5,3.8,3.75,4.333333333333333
1.0,2.0,1.0,4.0,3.8,3.75,4.666666666666667
1.0,2.0,1.0,3.75,3.4,3.75,5.0
1.0,2.0,1.0,4.0,3.6,4.25,3.6666666666666665
1.0,2.0,1.0,4.25,4.0,4.0,4.666666666666667
1.0,2.0,3.0,4.0,4.2,4.5,3.6666666666666665
1.0,2.0,1.0,4.25,4.2,4.0,3.6666666666666665
1.0,2.0,1.0,4.0,3.6,3.75,3.6666666666666665
1.0,2.0,1.0,3.0,3.4,3.5,5.0
1.0,2.0,4.0,4.0,4.2,3.75,3.6666666666666665
1.0,2.0,1.0,4.5,4.2,4.25,3.6666666666666665
1.0,2.0,1.0,4.0,4.4,3.25,4.0
1.0,2.0,1.0,4.75,4.2,3.5,5.0
1.0,2.0,1.0,4.25,4.0,3.5,3.6666666666666665
1.0,2.0,1.0,4.0,4.0,4.5,4.333333333333333
1.0,2.0,3.0,3.5,3.6,3.5,4.666666666666667
1.0,2.0,4.0,5.0,4.8,4.75,5.0
1.0,2.0,1.0,4.25,3.4,3.25,3.3333333333333335
1.0,5.0,1.0,4.0,3.8,3.25,1.6666666666666667
1.0,2.0,3.0,4.0,3.4,3.75,4.0
1.0,2.0,4.0,4.75,4.2,3.25,3.6666666666666665
1.0,2.0,1.0,3.0,3.8,3.5,3.3333333333333335
1.0,2.0,2.0,3.0,3.6,3.25,3.6666666666666665
1.0,5.0,1.0,5.0,4.6,4.5,3.6666666666666665
1.0,2.0,3.0,4.0,4.0,3.5,3.0
1.0,2.0,1.0,3.0,3.2,3.75,4.333333333333333
1.0,2.0,2.0,4.0,3.4,3.0,4.0
1.0,2.0,4.0,3.75,3.6,3.5,3.6666666666666665
1.0,2.0,1.0,4.25,4.0,4.25,3.6666666666666665
1.0,2.0,1.0,3.5,4.0,4.0,3.6666666666666665
1.0,2.0,1.0,3.25,3.6,2.0,4.0
1.0,4.0,1.0,4.75,4.0,4.0,4.0
1.0,2.0,1.0,5.0,4.0,3.5,3.6666666666666665
2.0,2.0,2.0,3.75,3.8,3.25,4.0
1.0,2.0,1.0,4.75,5.0,3.5,4.333333333333333
1.0,2.0,3.0,3.75,4.0,3.75,3.6666666666666665
1.0,2.0,1.0,5.0,3.2,3.75,4.0
1.0,5.0,1.0,5.0,5.0,5.0,4.666666666666667
1.0,2.0,1.0,4.25,4.0,3.5,4.0
1.0,2.0,2.0,4.0,4.2,4.25,5.0
2.0,2.0,2.0,4.0,3.6,4.25,4.0
1.0,2.0,1.0,3.5,3.8,3.75,3.6666666666666665
1.0,2.0,4.0,4.0,3.6,3.75,3.3333333333333335
1.0,5.0,1.0,4.5,4.0,4.75,3.3333333333333335
1.0,2.0,1.0,4.5,4.2,3.5,1.0
1.0,2.0,1.0,5.0,4.4,4.0,4.333333333333333
1.0,2.0,1.0,4.25,3.6,3.25,2.6666666666666665
1.0,2.0,1.0,4.5,4.8,4.25,4.0
1.0,5.0,1.0,4.25,4.4,4.5,4.0
2.0,3.0,1.0,3.5,3.2,3.25,4.666666666666667
1.0,2.0,3.0,5.0,3.8,4.0,4.666666666666667
2.0,3.0,2.0,3.75,3.4,4.0,5.0
2.0,3.0,1.0,4.0,3.8,3.5,4.0
1.0,2.0,1.0,3.5,3.4,2.75,3.0
2.0,2.0,1.0,4.0,4.0,3.75,4.0
1.0,3.0,1.0,3.75,4.4,3.0,5.0
1.0,2.0,3.0,3.0,3.4,2.5,3.3333333333333335
1.0,5.0,1.0,4.0,4.4,4.0,4.666666666666667
1.0,2.0,1.0,3.75,4.6,4.75,4.666666666666667
1.0,2.0,3.0,4.5,3.8,4.0,4.0
1.0,2.0,2.0,4.0,3.2,3.0,3.3333333333333335
1.0,3.0,1.0,4.0,3.8,3.5,2.0
1.0,2.0,1.0,3.5,4.2,4.5,4.333333333333333
1.0,3.0,1.0,5.0,4.0,5.0,1.6666666666666667
1.0,5.0,1.0,4.25,4.0,4.0,4.0
1.0,2.0,1.0,3.5,3.0,3.25,2.6666666666666665
1.0,2.0,1.0,4.0,4.0,3.25,3.6666666666666665
1.0,2.0,1.0,4.5,4.0,5.0,5.0
1.0,2.0,3.0,3.75,4.0,3.75,4.333333333333333
1.0,3.0,1.0,4.75,4.6,5.0,4.333333333333333
1.0,2.0,1.0,3.75,4.4,3.75,4.333333333333333
1.0,2.0,2.0,4.0,3.8,3.5,3.6666666666666665
1.0,4.0,1.0,5.0,4.6,4.0,2.3333333333333335
1.0,5.0,1.0,4.5,3.8,4.0,1.3333333333333333
1.0,5.0,1.0,4.5,3.8,4.0,2.0
1.0,3.0,1.0,4.25,3.8,4.0,2.3333333333333335
1.0,3.0,1.0,3.5,3.0,2.75,3.3333333333333335
1.0,2.0,3.0,3.75,3.6,3.5,3.3333333333333335
1.0,2.0,1.0,3.0,4.8,4.5,5.0
1.0,2.0,2.0,4.5,3.6,3.75,4.0
1.0,2.0,1.0,4.0,4.2,3.5,4.0
1.0,2.0,1.0,3.75,4.6,4.0,4.333333333333333
1.0,2.0,1.0,4.0,4.0,4.0,4.333333333333333
1.0,2.0,2.0,4.0,4.0,4.0,4.666666666666667
1.0,2.0,4.0,5.0,5.0,4.0,4.666666666666667
1.0,2.0,1.0,4.5,3.6,3.0,4.0
1.0,2.0,3.0,3.75,4.2,2.5,3.6666666666666665
1.0,3.0,1.0,4.5,5.0,4.75,3.0
1.0,2.0,3.0,3.0,4.0,3.25,3.3333333333333335
1.0,2.0,1.0,3.75,3.8,3.5,3.0
1.0,2.0,1.0,3.5,4.2,3.75,1.6666666666666667
1.0,2.0,1.0,3.75,3.6,3.75,4.333333333333333
1.0,2.0,1.0,3.5,4.4,3.5,4.0
1.0,3.0,2.0,4.25,5.0,5.0,2.0
2.0,3.0,3.0,3.75,3.8,3.75,3.0
1.0,3.0,1.0,4.5,3.8,3.5,2.6666666666666665
1.0,2.0,4.0,4.25,4.4,4.25,4.333333333333333
1.0,3.0,1.0,5.0,4.2,4.75,5.0
1.0,3.0,1.0,4.5,4.6,4.25,4.333333333333333
1.0,4.0,1.0,4.5,4.4,4.5,3.6666666666666665
1.0,4.0,1.0,4.75,4.6,3.5,2.6666666666666665
1.0,5.0,1.0,3.5,4.2,4.0,1.0
1.0,4.0,2.0,4.0,4.4,4.25,2.6666666666666665
1.0,2.0,3.0,4.0,4.2,4.0,4.666666666666667
2.0,3.0,3.0,4.25,3.8,3.5,4.0
1.0,5.0,1.0,4.5,3.8,3.25,1.0
1.0,2.0,1.0,4.25,4.8,4.25,3.0
1.0,2.0,3.0,3.0,3.4,3.0,3.6666666666666665
1.0,4.0,1.0,4.5,4.0,4.25,2.6666666666666665
1.0,5.0,1.0,4.0,3.4,3.5,4.0
1.0,5.0,1.0,3.75,4.2,4.0,4.0
1.0,3.0,1.0,2.75,4.0,4.25,4.333333333333333
1.0,4.0,1.0,4.75,3.8,4.25,3.3333333333333335
1.0,5.0,1.0,4.0,3.8,3.5,1.6666666666666667
1.0,5.0,1.0,4.75,4.4,3.25,4.333333333333333
1.0,4.0,2.0,3.25,3.6,2.75,2.3333333333333335
1.0,3.0,1.0,4.0,3.6,3.5,4.0
1.0,4.0,1.0,4.25,4.4,3.25,3.0
1.0,5.0,1.0,4.5,4.0,3.5,3.0
1.0,3.0,1.0,4.0,3.6,4.0,5.0
1.0,3.0,3.0,4.25,5.0,3.25,3.6666666666666665
1.0,3.0,2.0,4.25,3.0,2.75,5.0
1.0,3.0,3.0,4.0,4.0,3.75,1.0
1.0,5.0,1.0,4.5,3.8,4.25,3.6666666666666665
1.0,5.0,1.0,4.0,4.0,3.25,3.0
1.0,3.0,3.0,5.0,5.0,3.5,2.6666666666666665
1.0,5.0,1.0,4.25,4.4,3.5,3.6666666666666665
1.0,5.0,1.0,4.0,4.4,4.75,4.0
1.0,4.0,1.0,4.5,4.8,4.5,4.333333333333333
1.0,4.0,1.0,5.0,4.6,4.25,1.0
1.0,4.0,1.0,4.25,4.2,4.0,3.3333333333333335
1.0,4.0,1.0,3.25,3.8,2.75,2.0
1.0,4.0,1.0,4.0,3.8,3.75,3.3333333333333335
1.0,5.0,1.0,4.5,4.4,4.0,4.333333333333333
1.0,3.0,1.0,4.75,4.4,4.75,4.666666666666667
1.0,4.0,1.0,5.0,4.2,4.0,5.0
1.0,4.0,1.0,3.75,4.4,4.75,2.6666666666666665
1.0,4.0,1.0,4.75,3.8,3.5,2.3333333333333335
1.0,3.0,3.0,3.75,3.4,3.5,3.6666666666666665
1.0,4.0,1.0,5.0,3.6,3.75,4.333333333333333
1.0,3.0,1.0,5.0,4.4,4.5,4.0
1.0,4.0,1.0,4.0,3.6,4.0,4.0
1.0,5.0,1.0,4.25,4.4,4.25,3.3333333333333335
1.0,4.0,3.0,4.75,4.2,4.25,4.666666666666667
1.0,5.0,1.0,3.75,4.0,3.5,3.3333333333333335
1.0,3.0,3.0,5.0,4.2,4.0,3.6666666666666665
1.0,4.0,1.0,4.5,4.0,3.25,4.333333333333333
1.0,3.0,1.0,4.75,4.8,4.25,2.3333333333333335
1.0,4.0,1.0,4.5,4.2,4.25,4.0
1.0,4.0,1.0,4.5,4.4,4.0,3.6666666666666665
1.0,4.0,1.0,3.75,4.8,5.0,2.6666666666666665
1.0,4.0,1.0,3.25,4.4,4.0,3.6666666666666665
1.0,4.0,1.0,5.0,5.0,4.5,4.333333333333333
1.0,4.0,1.0,4.25,4.8,5.0,5.0
1.0,5.0,1.0,4.75,4.8,5.0,5.0
1.0,4.0,1.0,4.25,4.4,5.0,2.6666666666666665
1.0,5.0,1.0,4.0,4.2,4.5,3.0
1.0,5.0,1.0,3.5,3.4,3.0,2.0
1.0,5.0,1.0,4.5,3.6,5.0,4.0
2.0,3.0,1.0,4.0,4.0,3.0,4.333333333333333
2.0,3.0,1.0,4.0,3.8,4.0,4.333333333333333
1.0,3.0,1.0,5.0,4.4,4.75,4.0
1.0,4.0,1.0,4.0,3.8,3.5,3.6666666666666665
1.0,3.0,1.0,4.0,3.8,4.5,3.6666666666666665
1.0,3.0,1.0,4.0,3.6,3.75,4.666666666666667
1.0,3.0,1.0,4.5,4.2,3.75,3.0
1.0,4.0,1.0,3.5,4.4,4.25,3.0
2.0,3.0,1.0,4.5,4.2,3.5,3.3333333333333335
1.0,3.0,1.0,4.25,4.4,4.25,4.666666666666667
1.0,5.0,1.0,5.0,5.0,4.5,2.6666666666666665
2.0,3.0,4.0,4.75,4.4,3.75,4.0
1.0,3.0,1.0,4.5,4.0,4.25,3.0
1.0,4.0,1.0,4.5,4.4,4.75,5.0
1.0,3.0,1.0,5.0,4.2,3.5,4.0
1.0,5.0,1.0,4.75,4.0,3.75,2.6666666666666665
1.0,4.0,2.0,4.0,4.0,3.5,2.6666666666666665
1.0,4.0,1.0,3.75,3.8,3.5,3.6666666666666665
1.0,4.0,2.0,4.5,5.0,3.75,4.333333333333333
2.0,3.0,3.0,4.5,4.4,3.5,3.0
1.0,4.0,1.0,4.75,4.4,4.25,1.0
1.0,3.0,1.0,4.5,4.6,3.75,4.333333333333333
1.0,4.0,1.0,5.0,4.4,4.75,4.0
1.0,5.0,1.0,4.0,4.0,3.75,3.3333333333333335
1.0,3.0,1.0,4.5,4.4,4.75,3.6666666666666665
1.0,4.0,1.0,4.25,4.4,3.5,3.6666666666666665
1.0,4.0,1.0,4.0,3.8,4.0,3.6666666666666665
1.0,4.0,1.0,5.0,5.0,5.0,3.6666666666666665
1.0,5.0,1.0,5.0,4.6,4.0,3.6666666666666665
1.0,4.0,1.0,4.0,4.0,3.75,4.666666666666667
1.0,3.0,2.0,3.25,3.8,2.5,1.3333333333333333
1.0,3.0,1.0,3.75,4.0,4.0,5.0
1.0,4.0,3.0,4.0,3.6,3.0,5.0
1.0,3.0,1.0,3.25,4.8,4.5,4.333333333333333
1.0,5.0,3.0,3.75,3.6,3.75,3.3333333333333335
1.0,5.0,1.0,4.75,4.4,4.0,5.0
1.0,4.0,1.0,4.25,4.2,3.75,4.333333333333333
2.0,3.0,2.0,3.75,4.2,3.5,4.333333333333333
1.0,3.0,1.0,5.0,5.0,4.5,4.0
1.0,3.0,1.0,4.75,4.4,4.25,4.666666666666667
2.0,3.0,4.0,5.0,4.0,4.25,2.6666666666666665
1.0,3.0,1.0,4.5,4.0,4.0,2.3333333333333335
2.0,3.0,3.0,4.0,4.6,4.0,4.0
1.0,4.0,1.0,5.0,4.4,4.25,5.0
1.0,5.0,1.0,4.0,4.2,4.25,3.6666666666666665
1.0,3.0,1.0,4.0,4.4,4.25,3.6666666666666665
1.0,5.0,1.0,4.0,3.6,3.5,2.0
2.0,6.0,1.0,3.0,4.0,4.75,2.3333333333333335
1.0,4.0,1.0,4.0,4.0,4.0,2.0
1.0,5.0,1.0,4.25,4.2,3.5,3.3333333333333335
1.0,3.0,1.0,5.0,4.0,4.5,4.0
1.0,5.0,4.0,4.5,4.4,3.75,3.6666666666666665
1.0,5.0,1.0,4.75,3.6,4.25,2.6666666666666665
1.0,3.0,1.0,4.0,3.6,4.0,3.6666666666666665
1.0,4.0,1.0,4.25,4.2,3.75,3.0
2.0,3.0,3.0,4.75,4.4,4.0,4.666666666666667
1.0,4.0,2.0,4.0,4.0,4.0,4.0
1.0,2.0,1.0,4.25,5.0,4.75,3.3333333333333335
1.0,3.0,1.0,4.25,4.4,3.5,3.3333333333333335
1.0,4.0,1.0,4.0,4.2,3.5,3.6666666666666665
1.0,3.0,1.0,4.25,4.6,3.25,5.0
1.0,5.0,1.0,4.5,4.4,4.5,3.3333333333333335
1.0,3.0,3.0,3.5,3.8,3.5,3.6666666666666665
1.0,5.0,1.0,4.0,3.6,4.0,3.6666666666666665
1.0,5.0,1.0,4.75,4.0,4.0,3.0
2.0,3.0,4.0,4.25,4.0,3.5,3.6666666666666665
1.0,3.0,1.0,4.25,4.0,4.0,4.0
1.0,3.0,1.0,3.25,3.8,3.0,2.3333333333333335
1.0,5.0,1.0,4.25,4.2,4.0,3.3333333333333335
2.0,3.0,1.0,4.5,4.6,4.25,2.6666666666666665
1.0,4.0,1.0,4.0,3.8,4.0,4.0
1.0,5.0,1.0,4.0,4.0,4.0,5.0
1.0,3.0,1.0,3.75,4.4,3.75,4.0
2.0,3.0,1.0,4.25,4.4,4.0,4.333333333333333
1.0,4.0,3.0,4.0,3.4,2.25,4.0
2.0,3.0,1.0,3.75,4.2,3.25,4.666666666666667
1.0,5.0,1.0,3.75,4.4,4.0,3.0
2.0,3.0,1.0,5.0,4.4,3.75,5.0
1.0,5.0,1.0,4.0,3.6,3.5,2.0
1.0,3.0,3.0,4.0,4.6,4.25,5.0
1.0,5.0,1.0,4.75,4.4,3.75,3.0
1.0,4.0,1.0,4.75,3.0,3.5,2.0
1.0,5.0,1.0,5.0,4.2,4.0,3.0
1.0,5.0,1.0,4.0,4.4,4.5,3.6666666666666665
1.0,3.0,1.0,4.0,3.8,3.5,4.0
1.0,4.0,1.0,4.0,4.2,3.0,3.0
1.0,4.0,1.0,4.75,4.0,4.0,4.0
1.0,3.0,1.0,4.75,3.2,3.5,5.0
2.0,3.0,1.0,4.5,3.8,3.75,4.666666666666667
1.0,4.0,1.0,4.0,4.2,4.0,3.3333333333333335
1.0,5.0,1.0,3.25,2.8,3.5,1.0
1.0,3.0,1.0,3.25,3.0,2.75,2.0
1.0,4.0,1.0,4.25,3.8,4.0,3.3333333333333335
1.0,3.0,2.0,4.0,3.6,4.25,3.6666666666666665
1.0,4.0,1.0,4.25,3.8,3.0,4.333333333333333
1.0,4.0,1.0,4.5,5.0,4.5,2.6666666666666665
2.0,3.0,3.0,5.0,5.0,5.0,3.6666666666666665
1.0,3.0,1.0,4.0,4.6,4.5,4.666666666666667
1.0,4.0,1.0,4.75,4.4,2.0,5.0
1.0,5.0,2.0,3.75,3.8,3.75,3.3333333333333335
1.0,4.0,1.0,4.0,3.8,3.5,4.0
1.0,5.0,2.0,4.25,4.6,4.25,4.0
1.0,4.0,1.0,3.75,3.8,3.5,2.0
1.0,4.0,1.0,4.5,4.4,4.5,4.333333333333333
1.0,4.0,1.0,5.0,4.2,4.0,3.3333333333333335
2.0,3.0,2.0,4.0,3.4,3.5,4.0
1.0,3.0,1.0,4.75,4.4,3.25,3.3333333333333335
1.0,4.0,1.0,5.0,4.8,4.75,3.0
2.0,3.0,1.0,4.0,3.6,3.75,3.6666666666666665
1.0,3.0,1.0,4.75,3.8,4.0,3.0
1.0,3.0,1.0,4.25,4.6,4.25,4.0
2.0,3.0,3.0,4.0,3.8,4.0,5.0
1.0,3.0,1.0,4.5,4.0,3.75,3.3333333333333335
1.0,4.0,1.0,4.0,3.4,3.25,4.0
1.0,2.0,1.0,4.0,4.0,4.25,3.6666666666666665
1.0,4.0,1.0,4.25,3.6,3.0,4.666666666666667
1.0,4.0,1.0,4.0,3.4,3.0,4.666666666666667
1.0,3.0,1.0,4.75,4.6,3.75,4.666666666666667
1.0,3.0,1.0,3.75,3.2,3.25,3.0
1.0,4.0,1.0,4.25,4.0,4.0,5.0
2.0,6.0,1.0,4.75,4.4,4.25,5.0
1.0,4.0,1.0,5.0,4.2,4.0,5.0
1.0,4.0,1.0,4.25,4.2,4.5,4.0
1.0,3.0,1.0,3.0,3.0,3.75,3.6666666666666665
1.0,4.0,1.0,4.75,4.4,4.75,2.0
1.0,2.0,3.0,4.0,3.4,3.5,4.0
1.0,3.0,1.0,3.75,3.8,3.25,3.0
1.0,3.0,3.0,4.0,3.8,4.0,4.0
1.0,3.0,1.0,4.75,4.4,3.75,5.0
1.0,3.0,1.0,4.0,4.0,3.75,3.6666666666666665
1.0,3.0,1.0,4.25,3.0,3.0,2.6666666666666665
1.0,3.0,1.0,5.0,4.8,4.75,3.0
1.0,3.0,1.0,4.0,3.8,3.5,3.6666666666666665
1.0,3.0,1.0,4.75,4.4,4.0,5.0
1.0,3.0,4.0,4.5,5.0,4.5,4.666666666666667
1.0,3.0,1.0,4.5,3.4,3.25,3.6666666666666665
1.0,3.0,1.0,4.5,4.0,4.25,3.3333333333333335
1.0,3.0,3.0,4.75,2.6,2.75,4.0
1.0,3.0,1.0,4.0,4.0,3.75,2.3333333333333335
1.0,3.0,1.0,3.75,3.6,3.5,3.0
1.0,3.0,1.0,4.5,4.2,4.0,4.0
1.0,3.0,1.0,4.75,4.8,4.5,4.666666666666667
1.0,3.0,3.0,5.0,5.0,5.0,5.0
1.0,3.0,3.0,3.5,3.4,3.75,3.6666666666666665
1.0,3.0,1.0,4.25,4.6,5.0,5.0
1.0,3.0,1.0,5.0,4.0,4.0,3.3333333333333335
1.0,3.0,1.0,4.25,4.4,4.5,5.0
1.0,3.0,1.0,4.5,5.0,4.0,5.0
1.0,3.0,1.0,5.0,4.0,4.5,3.6666666666666665
